Invoice Number,Date,Time,Internal Toy ID Number,Toy Item Number,Toy Company,Toy Name,Suggested Age,Price Per Toy,Units Sold,Total Line Revenue,Total COGS,Payment,Cashier ID,Member?,Coupon?,Purchaser Age,Parking Validation?
654522,1/7/2010,10:25,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Cash,V.W.|880-4523,No,No,39,No
654526,1/7/2010,12:00,L217/SN,255,Duplo,Farming Scene,7 and up,$24.95 ,5,$124.75 ,$81.10 ,Visa,B.X.|880-9149,No,No,29,No
654568,1/7/2010,14:19,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,1,$5.95 ,$3.09 ,Cash,Z.Q.|880-4240,No,Yes,46,Yes
654576,1/25/2010,12:57,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,1,$9.95 ,$4.48 ,Discover,D.U.|880-2953,No,No,36,No
654613,2/5/2010,14:51,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Cash,D.Z.|880-1179,No,No,33,No
654624,2/5/2010,14:36,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,5,$49.75 ,$25.85 ,Cash,L.W.|880-4986,No,No,47,No
654650,2/6/2010,14:33,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Mastercard,D.S.|880-7532,No,No,34,No
654650,2/6/2010,14:33,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,2,$11.90 ,$6.18 ,Mastercard,D.S.|880-7532,No,No,34,No
654668,2/11/2010,13:42,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,1,$5.95 ,$3.09 ,Check,D.W.|880-7199,No,No,47,Yes
654673,2/20/2010,15:27,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,4,$39.80 ,$17.92 ,Cash,W.B.|880-9647,No,No,32,No
654693,3/11/2010,15:45,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Cash,B.Y.|880-6845,No,No,36,No
654693,3/11/2010,15:45,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,1,$5.95 ,$3.09 ,Cash,B.Y.|880-6845,No,No,36,No
654733,3/11/2010,13:59,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,2,$19.90 ,$8.96 ,Visa,P.N.|880-3021,No,No,36,No
654754,3/27/2010,12:08,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Mastercard,P.N.|880-3021,No,No,33,No
654799,4/3/2010,15:27,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,3,$29.85 ,$15.51 ,Cash,A.U.|880-2167,Yes,No,47,No
654827,4/9/2010,15:58,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Mastercard,A.U.|880-2167,No,No,35,Yes
654834,4/9/2010,12:06,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Visa,Z.Q.|880-4240,Yes,Yes,49,No
654860,4/9/2010,17:12,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,2,$11.90 ,$6.18 ,Gift Card,B.B.|880-9330,No,Yes,30,No
654883,4/9/2010,12:59,L217/SN,255,Duplo,Farming Scene,7 and up,$24.95 ,3,$74.85 ,$48.66 ,Visa,Z.Q.|880-4240,No,No,42,Yes
654908,4/14/2010,19:54,D218/FN,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Mastercard,L.C.|880-6872,No,No,39,No
654932,4/14/2010,12:42,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Mastercard,U.O.|880-3720,No,No,36,Yes
654979,4/17/2010,14:16,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Cash,D.W.|880-7199,No,Yes,39,No
655029,4/22/2010,13:39,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,1,$9.95 ,$4.48 ,Discover,S.V.|880-5987,No,Yes,63,No
655035,4/24/2010,17:16,L340/FS,340,Lego,Fire Trucks,6 and up,$34.95 ,2,$69.90 ,$39.84 ,Mastercard,V.W.|880-4523,Yes,Yes,38,No
655083,4/25/2010,16:52,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,2,$19.90 ,$8.96 ,Visa,N.W.|880-6237,No,Yes,33,No
655105,5/1/2010,15:27,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,1,$9.95 ,$4.48 ,Visa,U.W.|880-9683,No,No,33,No
655105,5/1/2010,15:27,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,2,$19.90 ,$8.96 ,Visa,U.W.|880-9683,No,No,33,No
655112,5/4/2010,14:47,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Visa,H.B.|880-3254,Yes,Yes,31,No
655124,5/6/2010,12:39,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Visa,Z.Q.|880-4240,No,No,45,No
655165,5/30/2010,17:40,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Cash,D.U.|880-2953,Yes,Yes,29,No
655189,5/30/2010,16:21,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,2,$11.90 ,$6.18 ,Visa,B.B.|880-9330,No,No,49,No
655232,5/30/2010,11:17,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Cash,H.B.|880-3254,No,Yes,42,No
655232,5/30/2010,11:17,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,2,$19.90 ,$8.96 ,Cash,H.B.|880-3254,No,Yes,42,No
655281,6/1/2010,15:27,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,4,$39.80 ,$20.68 ,Mastercard,W.C.|880-4861,No,No,34,Yes
655298,6/9/2010,16:28,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Discover,V.W.|880-8599,No,No,36,No
655323,6/13/2010,12:18,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Mastercard,N.C.|880-3850,No,No,41,No
655358,6/13/2010,19:16,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,2,$11.90 ,$6.18 ,Cash,W.C.|880-4861,No,No,32,Yes
655358,6/13/2010,19:16,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Cash,W.C.|880-4861,No,No,32,Yes
655373,6/21/2010,12:27,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,1,$5.95 ,$3.09 ,Visa,N.W.|880-6237,No,No,43,No
655385,6/21/2010,16:05,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,2,$19.90 ,$8.96 ,Mastercard,W.B.|880-9647,No,No,46,No
655412,6/24/2010,11:39,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,5,$49.75 ,$25.85 ,Mastercard,H.B.|880-3254,No,No,65,No
655412,6/24/2010,11:39,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Mastercard,H.B.|880-3254,No,No,65,No
655420,6/26/2010,16:09,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,2,$19.90 ,$8.96 ,Mastercard,A.U.|880-2167,No,No,56,Yes
655467,7/4/2010,13:46,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,1,$5.95 ,$3.09 ,Cash,Y.P.|880-6894,No,No,34,Yes
655505,7/9/2010,9:10,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Gift Card,N.C.|880-3850,No,No,30,Yes
655526,7/9/2010,12:57,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,3,$29.85 ,$15.51 ,Mastercard,Z.Q.|880-4240,No,No,24,Yes
655557,7/10/2010,16:00,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,4,$23.80 ,$12.36 ,Visa,V.W.|880-8599,No,No,37,No
655557,7/10/2010,16:00,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Visa,V.W.|880-8599,No,No,37,No
655570,7/18/2010,14:46,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Cash,L.W.|880-4986,No,Yes,37,No
655577,7/19/2010,11:24,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,4,$39.80 ,$17.92 ,Mastercard,V.W.|880-8599,No,No,12,No
655613,7/25/2010,12:04,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Visa,L.W.|880-4986,No,No,64,No
655623,7/29/2010,10:13,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Visa,D.U.|880-2953,No,No,43,No
655643,7/30/2010,11:49,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,3,$17.85 ,$9.27 ,Gift Card,N.C.|880-3850,No,No,48,No
655661,8/9/2010,16:56,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Mastercard,C.X.|880-3590,Yes,Yes,34,No
655661,8/9/2010,16:56,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Mastercard,C.X.|880-3590,Yes,Yes,34,No
655673,8/16/2010,15:42,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Cash,D.U.|880-2953,No,No,50,Yes
655676,8/18/2010,18:27,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Cash,D.Z.|880-1179,No,No,38,No
655676,8/18/2010,18:27,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,4,$39.80 ,$20.68 ,Cash,D.Z.|880-1179,No,No,38,No
655679,8/24/2010,16:49,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,3,$29.85 ,$15.51 ,Gift Card,S.V.|880-5987,No,No,41,No
655716,9/2/2010,16:19,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Cash,U.W.|880-9683,Yes,No,21,No
